assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
104204024,103874754,Montecincla meridionalis,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,LEIOTRICHIDAE,Montecincla,meridionalis,,,,"(Blanford, 1880)",Vulnerable,C2a(ii),3.1,Decreasing,Global
104204340,103874145,Montecincla jerdoni,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,LEIOTRICHIDAE,Montecincla,jerdoni,,,,"(Blyth, 1851)",Endangered,"B1ab(i,ii,iii,iv,v)",3.1,Decreasing,Global
104207051,103758091,Cyanoptila cumatilis,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MUSCICAPIDAE,Cyanoptila,cumatilis,,,,"Thayer &amp; Bangs, 1909",Near Threatened,C2a(ii),3.1,Decreasing,Global
104209434,22735640,Stiphrornis pyrrholaemus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MUSCICAPIDAE,Stiphrornis,pyrrholaemus,,,,"Schmidt &amp; Angehr, 2008",Near Threatened,"B1b(iii,v); C2a(ii)",3.1,Decreasing,Global
104210718,103866352,Heinrichia simplex,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MUSCICAPIDAE,Heinrichia,simplex,,,,"(Stresemann, 1931)",Near Threatened,D1,3.1,Decreasing,Global
104217117,103767625,Larvivora tanensis,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MUSCICAPIDAE,Larvivora,tanensis,,,,(Kuroda 1923),Vulnerable,C2a(i),3.1,Decreasing,Global
104222461,103867212,Hylocitrea bonthaina,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,HYLOCITREIDAE,Hylocitrea,bonthaina,,,,"(Meyer &amp; Wiglesworth, 1896)",Endangered,"B1ab(ii,iii,v)",3.1,Decreasing,Global
104234257,103823664,Hemignathus affinis,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FRINGILLIDAE,Hemignathus,affinis,,,,"Rothschild, 1893",Critically Endangered,D,3.1,Unknown,Global
104264103,103764849,Chrysocorythus mindanensis,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FRINGILLIDAE,Chrysocorythus,mindanensis,,,,"(Ripley &amp; Rabor, 1961)",Near Threatened,B1b(iii); D1,3.1,Stable,Global
104267733,22724893,Arremon basilicus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PASSERELLIDAE,Arremon,basilicus,,,,"(Bangs, 1898)",Near Threatened,C2a(ii),3.1,Decreasing,Global
